GB.XPD.RSDV.GD.ZS,GC.XPN.TOTL.GD.ZS,IP.PAT.RESD,NE.RSB.GNFS.CD,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.PCAP.CD,SE.ADT.LITR.ZS,SE.XPD.PRIM.PC.ZS,SE.XPD.TOTL.GD.ZS,SH.DYN.NMRT,SH.XPD.GHED.GD.ZS,SI.POV.GINI,SI.POV.NAHC,SL.UEM.TOTL.ZS,SP.DYN.LE00.IN,SP.POP.SCIE.RD.P6,VC.IHR.PSRC.P5,year,country
,43.902513653596,12519.0,20831758034.0265,2.35834218111899,23496.367675721,24380.0,,,5.62643003463745,3.1,,,,12.59,77.6487804878049,,2.45675068215238,1994,FRA
,47.0999201328438,12419.0,25613089762.1238,2.10669525325974,26889.4250554833,25740.0,,,5.79072999954224,3.1,,,,11.83,77.7512195121951,,2.32670108582054,1995,FRA
2.2228000164032,47.1372999027363,12916.0,28611360430.8245,1.41299367250002,26870.2852380937,27110.0,,,5.75672006607056,3.1,,32.0,,12.37,77.9536585365854,2668.87622070312,2.03216837502437,1996,FRA
2.14699006080627,47.3823551935098,13252.0,43773881771.1845,2.33629652937944,24226.8846867539,26930.0,,,,3.0,,31.9,,12.57,78.3048780487805,2657.86059570312,1.66495608133724,1997,FRA
2.09475994110107,45.586529585116,13251.0,41278630197.9097,3.58865942535427,24971.5744885632,25820.0,,,5.68792009353638,2.9,,31.7,,12.07,78.6048780487805,2664.5400390625,1.65460451082552,1998,FRA
2.10767006874084,45.3891466018177,13592.0,35718431874.1314,3.42137379882455,24678.3910613218,25420.0,,17.48975,,2.8,,32.5,,11.98,78.7560975609756,2732.7431640625,1.63318584277051,1999,FRA
2.09346008300781,44.1329000361832,13870.0,18145292138.0393,3.92366922704063,22416.425417915,24990.0,,17.52698,5.60021924972534,2.8,6.97070313,32.6,,10.22,79.0560975609756,2915.69458007812,1.79151433468007,2000,FRA
2.13804006576538,44.374324535171,13499.0,21662591383.0709,1.98372141863292,22449.3396931175,23870.0,,,5.61780023574829,2.7,7.06165648,32.5,,8.61,79.1585365853659,2986.8583984375,1.77413206159526,2001,FRA
2.17448997497559,45.3515498205411,13519.0,29879184151.7648,1.13553148214601,24288.2700193508,23150.0,,,5.78097534179688,2.7,7.31639624,31.8,,8.7,79.2609756097561,3117.2119140625,1.88470185650375,2002,FRA
2.11994004249573,45.6356507095874,13511.0,26305134919.6078,0.823160756684118,29627.92426353,26000.0,,17.74476,5.76206302642822,2.6,7.32370949,31.4,,8.31,79.1146341463415,3199.74829101562,1.65248405899107,2003,FRA
2.09460997581482,45.0159798687691,14230.0,21464778375.2896,2.82975292869891,33797.1624418436,31450.0,,17.95336,5.54923391342163,2.5,7.38390923,30.6,,8.91,80.1634146341463,3334.1669921875,1.64702333472715,2004,FRA
2.05151009559631,45.1413507521639,14327.0,1876088130.7393,1.66321998030079,34768.1759037525,35920.0,,17.54639,5.47005081176758,2.4,7.41065979,29.8,,8.49,80.1634146341463,3313.25854492188,1.61295441695792,2005,FRA
2.05094003677368,44.7043320594475,14529.0,-5414142127.05882,2.44932360111885,36470.2128399313,37880.0,,17.2182,5.47531032562256,2.4,7.40223789,29.7,,8.45,80.8121951219512,3423.74853515625,1.44289603515479,2006,FRA
2.0245099067688,44.1951595788519,14722.0,-19003048491.7648,2.42473624337305,41557.6235648179,40160.0,,17.83394,5.30452871322632,2.4,7.33408451,32.4,,7.66,81.1121951219512,3585.80590820312,1.61912622116949,2007,FRA
2.06117010116577,44.6826820184904,14658.0,-33942094707.8125,0.254945960124005,45515.9617533473,43540.0,,17.5281,5.40407991409302,2.4,7.4163928,33.0,,7.06,81.2146341463415,3659.884765625,1.65421793412353,2008,FRA
2.21206998825073,48.0210057518454,14100.0,-21373645832.8125,-2.87331382849631,41737.7635518137,44070.0,,17.99072,5.73407077789307,2.4,7.97806454,32.7,,8.74,81.4146341463415,3747.28466796875,1.3189829703999,2009,FRA
2.17857003211975,49.3240362674279,14748.0,-34154438483.3342,1.94943762312663,40676.0647913191,43970.0,,18.15487,5.65859603881836,2.3,7.9076767,33.7,,8.87,81.6634146341463,3873.01293945312,1.2747305942565,2010,FRA
2.19161009788513,47.5857458016517,14655.0,-55810445865.7593,2.19270063266654,43846.4660764801,44440.0,,17.91099,5.48298311233521,2.3,7.85247946,33.3,,8.81,82.1146341463415,3942.38891601562,1.36359432696015,2011,FRA
2.22707009315491,48.0719239335045,14540.0,-34780514136.3281,0.313134751077172,40870.8523645734,43410.0,,17.49746,5.45646715164185,2.3,7.94105148,33.1,,9.4,81.9682926829268,4073.25048828125,1.24303536520438,2012,FRA
2.23703002929688,48.119369598085,14690.0,-29091097530.9807,0.576326674771792,42602.7179652671,43800.0,,17.71386,5.50037813186646,2.3,8.01780128,32.5,,9.92,82.219512195122,4154.8154296875,1.2268063341732,2013,FRA
2.27591991424561,48.2894176805372,14500.0,-32713003312.9405,0.956183052371557,43068.5487241732,43340.0,,17.68894,5.51206302642822,2.4,8.11223507,32.3,,10.29,82.719512195122,4233.63818359375,1.24550840497221,2014,FRA
2.2270200252533,47.9919779188076,14306.0,-13816764026.9531,1.1129123405747,36652.9223052178,41130.0,,17.53958,5.46424007415771,2.4,8.26771069,32.7,,10.35,82.3219512195122,4336.01416015625,1.58596405512767,2015,FRA
2.22237992286682,47.8819262450825,14206.0,-14963116279.3779,1.09546440372048,37062.5335723839,39100.0,,17.3647,5.41906976699829,2.5,8.61525917,31.9,,10.05,82.5731707317073,4414.69873046875,1.21739068060242,2016,FRA
2.1988799571991,47.7079907123412,14415.0,-27627482851.765,2.29141999417021,38781.049487084,38320.0,,,5.45160007476807,2.6,8.59983444,31.6,,9.41,82.5756097560976,4569.90771484375,1.10688301718975,2017,FRA
2.19666004180908,46.7732066858883,14303.0,-28205917512.1563,1.86506607081999,41557.8548588869,41170.0,,,5.40716981887817,2.6,8.49712181,32.4,,9.02,82.6756097560976,4699.74169921875,1.08279984503205,2018,FRA
2.19179010391235,46.3024611970209,14103.0,-26125176635.2936,1.84297181445896,40494.8982936269,42460.0,,,5.35443019866943,2.6,8.34206104,31.2,14.2,8.41,82.8268292682927,4811.53076171875,1.1692590431065,2019,FRA
2.34717011451721,52.032985510734,12771.0,-51813442090.2716,-7.78458649167871,39055.2829280747,39440.0,,,5.67784023284912,2.6,9.36361694,30.7,14.3,8.01,82.1756097560976,4926.18896484375,1.07320011042795,2020,FRA
,49.9017941756269,13386.0,-57446879600.7743,6.81658913649873,43658.9789781222,44160.0,,,5.2450270652771,2.5,,,15.6,7.86,82.3243902439024,,1.13742999459302,2021,FRA
,,,-114599071093.386,2.5623935644647,40963.837337041,45860.0,,,,,,,,7.445,,,,2022,FRA
,36.2255377331783,904.0,-862055296.545693,-0.255126895859874,24207.3433771605,23970.0,,,5.86597013473511,4.3,,,,,76.2204878048781,,,1988,NOR
,36.7479213587794,1015.0,3308422043.59476,1.03825235459402,24281.1304051396,25080.0,,,6.29984998703003,4.1,,,,,76.500487804878,,,1989,NOR
,38.094793568408,899.0,7269948573.49012,1.93229132787364,28242.7934092985,26500.0,,,6.31036996841431,4.0,,,,,76.5373170731707,,1.10806315158386,1990,NOR
,38.6254931418945,924.0,9249503601.1811,3.08443858463822,28596.7455317282,27820.0,,,6.37321996688843,3.8,,25.2,,5.41,76.9807317073171,,1.1731893845601,1991,NOR
,39.7314944292965,941.0,8479683471.49363,3.5744589496928,30523.9809627845,30780.0,,,6.63613986968994,3.6,,,,5.91,77.1843902439025,,1.07312232171414,1992,NOR
,39.0131645859661,1031.0,7399216840.68575,2.84518273226813,27963.5829401628,30210.0,,,7.6766300201416,3.4,,,,5.97,77.1517073170732,,0.881233801531306,1993,NOR
,38.3583247329037,1074.0,7441639909.59607,5.05527398129418,29315.8750023094,30850.0,,,7.83044004440308,3.2,,,,5.35,77.689756097561,,0.760940333169654,1994,NOR
,37.9562430305937,1128.0,9027874606.6264,4.15564299493347,34875.9428893152,32690.0,,,7.69568014144897,3.1,,26.0,,6.31,77.7365853658537,,0.963450252991714,1995,NOR
,35.9868281323483,1291.0,14166157392.2739,5.02796181581016,37321.9259783095,35790.0,,,7.1380500793457,2.9,,,,5.04,78.1504878048781,,0.981396824382462,1996,NOR
1.59350001811981,34.3998282720311,1256.0,12776739524.5168,5.28455774896193,36629.0265883133,37910.0,,37.94443,7.30343008041382,2.8,,,,4.69,78.1426829268293,3956.77905273438,0.862590766397141,1997,NOR
,35.893194280573,1213.0,2909571413.75575,2.66868662298907,34803.4749376875,36110.0,,21.38928,7.35759019851685,2.8,,,,3.74,78.3292682926829,,0.857463503363457,1998,NOR
1.60535001754761,35.0568472983419,1335.0,11799586409.0695,2.07204717075879,36393.4249590075,35570.0,,,6.96222019195557,2.7,,,,3.25,78.2829268292683,4089.17822265625,0.739555045586285,1999,NOR
,31.9618827246391,1311.0,28998476644.5659,3.31894567098156,38178.0561473638,36600.0,,,6.45934009552002,2.7,6.29948044,27.4,,3.46,78.6341463414634,,1.0687563227791,2000,NOR
1.56259000301361,32.6023738948164,1189.0,29293275199.1777,2.06713046054618,38602.0944054332,38280.0,,,6.82015991210938,2.6,6.64224243,,,3.74,78.7853658536585,4352.060546875,0.819669044223803,2001,NOR
